122 62 22
1.39804e-76 106 1 0
1.39804e-76 107 1 0
1.39804e-76 108 1 0
1.39804e-76 109 1 0
1.39804e-76 110 1 0
1.39804e-76 111 1 0
1.39804e-76 112 1 0
1.39804e-76 113 1 0
1.39804e-76 114 1 0
1.39804e-76 115 1 0
1.39804e-76 116 1 0
1.39804e-76 117 1 0
1.39804e-76 118 1 0
1.39804e-76 119 1 0
1.39804e-76 120 1 0
1.39804e-76 121 1 0
1.39804e-76 0 2 0
1.39804e-76 1 2 0
1.39804e-76 2 2 0
1.39804e-76 3 2 0
1.39804e-76 4 2 0
1.39804e-76 5 2 0
1.39804e-76 6 2 0
1.39804e-76 7 2 0
1.39804e-76 8 2 0
1.39804e-76 9 2 0
1.39804e-76 10 2 0
1.39804e-76 11 2 0
1.39804e-76 12 2 0
1.39804e-76 13 2 0
1.39804e-76 14 2 0
1.39804e-76 15 2 0
1.39804e-76 16 2 0
1.39804e-76 17 2 0
1.39804e-76 18 2 0
1.39804e-76 19 2 0
1.39804e-76 20 2 0
1.39804e-76 21 2 0
1.39804e-76 22 2 0
1.39804e-76 23 2 0
1.39804e-76 24 2 0
1.39804e-76 25 2 0
1.39804e-76 26 2 0
1.39804e-76 27 2 0
1.39804e-76 28 2 0
1.39804e-76 29 2 0
1.39804e-76 30 2 0
1.39804e-76 31 2 0
1.39804e-76 32 2 0
1.39804e-76 33 2 0
1.39804e-76 34 2 0
1.39804e-76 35 2 0
1.39804e-76 36 2 0
1.39804e-76 37 2 0
1.39804e-76 38 2 0
1.39804e-76 39 2 0
1.39804e-76 40 2 0
1.39804e-76 41 2 0
1.39804e-76 42 2 0
1.39804e-76 43 2 0
1.39804e-76 44 2 0
1.39804e-76 45 2 0
1.39804e-76 46 2 0
1.39804e-76 47 2 0
1.39804e-76 48 2 0
1.39804e-76 49 2 0
1.39804e-76 50 2 0
1.39804e-76 51 2 0
1.39804e-76 52 2 0
1.39804e-76 53 2 0
1.39804e-76 54 2 0
1.39804e-76 55 2 0
1.39804e-76 56 2 0
1.39804e-76 57 2 0
1.39804e-76 58 2 0
1.39804e-76 59 2 0
1.39804e-76 60 2 0
1.39804e-76 61 2 0
1.39804e-76 62 2 0
1.39804e-76 63 2 0
1.39804e-76 64 2 0
1.39804e-76 65 2 0
1.39804e-76 66 2 0
1.39804e-76 67 2 0
1.39804e-76 68 2 0
1.39804e-76 69 2 0
1.39804e-76 70 2 0
1.39804e-76 71 2 0
1.39804e-76 72 2 0
1.39804e-76 73 2 0
1.39804e-76 74 2 0
1.39804e-76 75 2 0
1.39804e-76 76 2 0
1.39804e-76 77 2 0
1.39804e-76 78 2 0
1.39804e-76 79 2 0
1.39804e-76 80 2 0
1.39804e-76 81 2 0
1.39804e-76 82 2 0
1.39804e-76 83 2 0
1.39804e-76 84 2 0
1.39804e-76 85 2 0
1.39804e-76 86 2 0
1.39804e-76 87 2 0
1.39804e-76 88 2 0
1.39804e-76 89 2 0
1.39804e-76 90 2 0
1.39804e-76 91 2 0
1.39804e-76 92 2 0
1.39804e-76 93 2 0
1.39804e-76 94 2 0
1.39804e-76 95 2 0
1.39804e-76 96 2 0
1.39804e-76 97 2 0
1.39804e-76 98 2 0
1.39804e-76 99 2 0
1.39804e-76 100 2 0
1.39804e-76 101 2 0
1.39804e-76 102 2 0
1.39804e-76 103 2 0
1.39804e-76 104 2 0
1.39804e-76 105 2 0
1.39804e-76 106 2 0
1.39804e-76 107 2 0
1.39804e-76 108 2 0
1.39804e-76 109 2 0
1.39804e-76 110 2 0
1.39804e-76 111 2 0
1.39804e-76 112 2 0
1.39804e-76 113 2 0
1.39804e-76 114 2 0
1.39804e-76 115 2 0
1.39804e-76 116 2 0
1.39804e-76 117 2 0
1.39804e-76 118 2 0
1.39804e-76 119 2 0
1.39804e-76 120 2 0
1.39804e-76 121 2 0
1.39804e-76 0 3 0
1.39804e-76 1 3 0
1.39804e-76 2 3 0
1.39804e-76 3 3 0
1.39804e-76 4 3 0
1.39804e-76 5 3 0
1.39804e-76 6 3 0
1.39804e-76 7 3 0
1.39804e-76 8 3 0
1.39804e-76 9 3 0
1.39804e-76 10 3 0
1.39804e-76 11 3 0
1.39804e-76 12 3 0
1.39804e-76 13 3 0
1.39804e-76 14 3 0
1.39804e-76 15 3 0
1.39804e-76 16 3 0
1.39804e-76 17 3 0
1.39804e-76 18 3 0
1.39804e-76 19 3 0
1.39804e-76 20 3 0
1.39804e-76 21 3 0
1.39804e-76 22 3 0
1.39804e-76 23 3 0
1.39804e-76 24 3 0
1.39804e-76 25 3 0
1.39804e-76 26 3 0
1.39804e-76 27 3 0
1.39804e-76 28 3 0
1.39804e-76 29 3 0
1.39804e-76 30 3 0
1.39804e-76 31 3 0
1.39804e-76 32 3 0
1.39804e-76 33 3 0
1.39804e-76 34 3 0
1.39804e-76 35 3 0
1.39804e-76 36 3 0
1.39804e-76 37 3 0
1.39804e-76 38 3 0
1.39804e-76 39 3 0
1.39804e-76 40 3 0
1.39804e-76 41 3 0
1.39804e-76 42 3 0
1.39804e-76 43 3 0
1.39804e-76 44 3 0
1.39804e-76 45 3 0
1.39804e-76 46 3 0
1.39804e-76 47 3 0
1.39804e-76 48 3 0
1.39804e-76 49 3 0
1.39804e-76 50 3 0
1.39804e-76 51 3 0
1.39804e-76 52 3 0
1.39804e-76 53 3 0
1.39804e-76 54 3 0
1.39804e-76 55 3 0
1.39804e-76 56 3 0
1.39804e-76 57 3 0
1.39804e-76 58 3 0
1.39804e-76 59 3 0
1.39804e-76 60 3 0
1.39804e-76 61 3 0
1.39804e-76 62 3 0
